<<<<<<< Updated upstream
"","record","lobster","herring","menhaden","scallop","cod","haddock","pollock","halibut","white_hake","dabs","gray_sole","windowpane","yellowtail","winter_flounder","redfish","monkfish","skates","whiting","red_hake","red_crab","clams","squid","dogfish","summer_flounder","scup","black_seabass","other","species","lobster_income","herring_income","menhaden_income","scallop_income","cod_income","haddock_income","pollock_income","halibut_income","white_hake_income","dabs_income","gray_sole_income","windowpane_income","yellowtail_income","winter_flounder_income","redfish_income","monkfish_income","skates_income","whiting_income","red_hake_income","red_crab_income","clams_income","squid_income","dogfish_income","summer_flounder_income","scup_income","black_seabass_income","other_spp_income","inshore_gom","offshore_gom","gb","sne","lis","mid","other_region","other_region_descrip","homeport","port_zip","yrs_fishing","hometown","home_zip","yrs_residence","captain","vessel_owner","crew","other_role","other_role_descrip","crew_num","vessel","longline","midwater_trwl","bottom_trwl","trap","purse_seine","gillnet","rod_reel","other_gear","other_gear_descrip","other_fisheries","other_fisheries_descrip","income","age","gender","other_gender","tribe","ocean_temp","severe_weather","target_spp","other_change","other_obs_change","ability","explanation","lob_warming","lob_warming_conf","herr_warming","herr_warming_conf","men_warming","men_warming_conf","sclp_warming","sclp_warming_conf","cod_warming","cod_warming_conf","hadk_warming","hadk_warming_conf","polk_warming","polk_warming_conf","halbt_warming","halbt_warming_conf","wht_hake_warming","wht_hake_warming_conf","dabs_warming","dabs_warming_conf","gry_sole_warming","gry_sole_warming_conf","windowpane_warming","windowpane_warming_conf","yellowtail_warming","yellowtail_warming_conf","wnt_flnder_warming","wnt_flnder_warming_conf","redfish_warming","redfish_warming_conf","monkfish_warming","monkfish_warming_conf","skates_warming","skates_warming_conf","whiting_warming","whiting_warming_conf","red_hake_warming","red_hake_warming_conf","red_crab_warming","red_crab_warming_conf","clams_warming","clams_warming_conf","squid_warming","squid_warming_conf","dogfish_warming","dogfish_warming_conf","summer_flnder_warming","summer_flnder_warming_conf","scup_warming","scup_warming_conf","black_seabass_warming","black_seabass_warming_conf","other_warming","other_warming_conf","change_other_spp","other_spp_impact","range_change","range_change_descrp","timing_change","timing_change_descrp","spp_neg","spp_pos","warming_concern","oa_concern","storm_concern","sea_level_concern","weather_concern","h20_quality_concern","algal_concern","habitat_concern","think_warming","think_oa","think_storm","think_sea_level","think_weather","think_h20_quality","think_algal","think_habitat","pop_size_concern","bycatch_concern","value_concern","costs_concern","sa_concern","distance_concern","reg_concern","osw_concern","aqua_concern","think_pop_size","think_bycatch","think_value","think_costs","think_sa","think_distance","think_reg","think_osw","think_aqua","graying_fleet_concern","fish_comm_concern","resid_concern","infrastructure_concern","workforce_concern","think_graying_fleet","think_fish_comm","think_resid","think_infrastructure","think_workforce","phsy_health_concern","mental_health_concern","safe_at_sea_concern","family_concern","finance_concern","think_phsy_health","think_mental_health","think_safe_at_sea","think_family","think_finance","smoke","alcohol","believe","harm_me","harm_future","leave_fishing","risk","no_point","no_fish","recreational","other_fishery","internal","aquaculture","tourism","development","shipping","osw","fish_neg_wellbeing","fish_neg_health","fish_neg_mental","fish_increase_stress","env_neg_welbeing","env_neg_health","env_neg_mental","env_increase_stress","env_neg_safety","enc_child","identity","comm_support","generation","connect_env","connect_comm","money","plan","job_sat","effective_mgmt","data","find_crew","voice","climate_in_mgmt","equitable","opp_outside","opp_crew","new_fishery","nat_resource_job","other_job","loan","distance","strong_comm","climate_refugees","adapt_mgmt","const_reg","waterfront","covid_mkt","intl_trade","new_mkt","reliable_crew","fish_reg","quota","spp_dist","climate_chng","other_concern","other_concern_descrp","flexible_mgmt","noanswerq44_r1","sppt_climate_change","metrics","concern_future","list","uuid","source","date"
244,4193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Ogunquit, Maine",3907,25+,"Wells, Maine",4090,15-25,1,1,0,0,NA,3-Jan,36-45,0,0,0,1,0,0,0,0,NA,no,NA,none,40-50,male,NA,no,no_change,increase,no_change,NA,NA,no_obs_change,NA,no_effect,med,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,NA,NA,no,NA,no,NA,yes,"Near shore fishing isn’t as good in the spring months , primarily cause weather , rough seas ( lobster)",Not sure,Not sure,none,none,somewhat,none,none,none,somewhat,somewhat,never,never,occasionally,never,occasionally,never,never,never,none,somewhat,none,somewhat,somewhat,none,somewhat,none,none,never,never,occasionally,occasionally,never,never,occasionally,never,never,none,none,none,somewhat,somewhat,never,never,never,never,never,none,none,none,none,none,never,never,never,never,never,no,NA,somewhat_disagree,somewhat_disagree,neutral,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,strongly_disagree,strongly_disagree,somewhat_agree,strongly_agree,strongly_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,neutral,neutral,neutral,strongly_disagree,somewhat_disagree,neutral,neutral,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,strongly_disagree,1,1,1,0,0,0,0,0,0,0,NA,NA,1,I,?,No,2,rutpfm0m90pa903t,0lNG3XrMyC,8/2/2020 11:30
245,4225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jonah Crab,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,"Beals, Maine",4611,25+,"Beals, Maine",4611,25+,1,1,1,0,NA,3-Jan,36-45,0,0,0,1,0,0,0,0,NA,no,NA,U10,30-40,male,NA,no,no_change,no_change,increase,NA,NA,no,NA,no_effect,high,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,no_effect,high,yes,"The decline in codfish, due to overfishing in previous decades, had a positive effect on the abundance of lobster. Codfish are one of the main predators of young lobster, so the relative lack of cod has led to a much better percentage of lobster reaching maturity.",no,NA,yes,"30 years ago, I was 8 and fished with my old man during the summer. We only fished the bay. Now, in my own boat, I fish offshore as well, so I generally have gear in the water from May until the end of December.","I haven't the foggiest idea, just crossing my fingers that it somehow manages to only kill off the invasive European green crab.","I don't know, my concern is more of migration and settling patterns changing, effectively moving the fishery away from the fishermen.",somewhat,somewhat,none,none,none,somewhat,somewhat,somewhat,occasionally,occasionally,never,never,never,occasionally,occasionally,occasionally,somewhat,very,somewhat,very,very,very,very,very,very,occasionally,occasionally,frequently,frequently,frequently,occasionally,frequently,frequently,frequently,none,none,none,none,none,never,never,never,occasionally,frequently,none,none,somewhat,none,somewhat,never,never,occasionally,never,occasionally,no,2-Jan,somewhat_agree,neutral,somewhat_agree,strongly_disagree,strongly_agree,neutral,neutral,neutral,somewhat_agree,neutral,strongly_agree,somewhat_agree,neutral,somewhat_agree,strongly_agree,strongly_agree,I have not observed any changes,I have not observed any changes,somewhat_agree,I have not observed any changes,I have not observed any changes,I have not observed any changes,I have not observed any changes,I have not observed any changes,neutral,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,strongly_agree,somewhat_agree,strongly_agree,somewhat_agree,strongly_agree,neutral,somewhat_disagree,somewhat_disagree,neutral,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,somewhat_agree,neutral,neutral,neutral,somewhat_agree,0,0,0,0,1,1,0,1,0,0,NA,"Completely rework the ESA and Marine Mammal Protection laws, as the framework set up in these makes no sense. The Maine lobster fishery, which has never been proven to be part of the problem in marine mammal mortality, keeps bearing the brunt of over-zealous regulation supposedly meant to save cetaceans.",0,"I don't know, haven't seen that it affects me yet.",I don't know.,"Offshore Wind Turbines will be detrimental to many New England fisheries, while having extremely high maintenance costs and providing little benefit in efficiency of electricity production. This project is being pushed by people with money to gain, and the politicians they have bought, and is supported by nobody in the fishing industry. The only thing they're likely to increase is congestion in some fishing areas, due to displacement, and pollution from the lubricants and chemicals that will inevitably leak from the wind turbine set-ups.",2,dj5jbds6unuaaz57,QxXPUYgG0r,8/3/2020 5:51
246,4369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,"Orr's Island, ME",4066,15-May,Brunswick,4011,15-25,0,1,0,0,NA,3-Jan,25-35,0,0,0,1,0,0,0,0,NA,no,NA,50+,40-50,female,NA,no,increase,increase,decrease,NA,NA,yes_neg,"Warm waters may stress lobsters, stress reduces immunity, stressed lobsters are more likely to have problems with shell disease and other maladies.     Warm water contributes to weather patterns, severe weather inhibits number of fishing days.",strong_neg,high,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,strong_neg,high,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,NA,NA,yes,"Overfishing of sea urchins made starfish disappear, cleaner water from new lack of overboard discharge may have made mussels disappear, also reducing food for starfish. Invasion of Asian striped crab means that lobs are fighting for food with new and prolific species.  The seaweed/moss ratio is different in front of the house than it was 20 and 30 years ago. European oysters have changed the landscape of the bottom. Nothing much scientific there, just observations, but changes in food, habitat, and water temp surely bring about some changes to the lobster fishery.",yes,"Increase in shell disease, reduction in catch overall",no,NA,Anything that doesn't like warm water. It's been said that Casco Bay is rising in temperature faster than anywhere in the world.,Anything coming up from the south as the water temp rises. Could result in some new markets in Maine.,very,very,very,very,very,very,very,very,occasionally,occasionally,occasionally,occasionally,occasionally,frequently,occasionally,frequently,somewhat,none,very,somewhat,somewhat,none,somewhat,none,somewhat,never,never,never,occasionally,occasionally,never,occasionally,never,occasionally,very,very,very,somewhat,somewhat,frequently,occasionally,occasionally,never,occasionally,very,very,very,very,very,frequently,frequently,frequently,frequently,frequently,no,2-Jan,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,strongly_disagree,strongly_disagree,somewhat_agree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_disagree,strongly_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,strongly_agree,strongly_agree,strongly_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,neutral,neutral,neutral,somewhat_agree,1,1,0,0,0,1,0,0,0,0,NA,How about getting that NOAA Cares Act funding scheme going?     Figure out a better way to manage licensing--a way that make sense. Not everyone fishes all of their tags--let's let some seniors or some non-school age folks have 150 trap licenses. How can we respond and be flexible if everyone is waiting 10 years for someone to die so they can get a license?,0,"Acknowledgement that fishing gear is not killing right whales, and that ship strikes due to cruise ships dumping what whale food likes to eat is causing whales to hang out in shipping channels.",How aquaculture leases are changing the lobster habitat and/or interfering with how/where people can put their lobstering gear.,"Let's get that NOAA Cares Act funding going, please.",2,829tngd1vk410j46,Sf7oya4q8a,8/7/2020 12:52
247,4377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alwives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,Bucksport,4416,15-25,Bucksport,4416,25+,0,0,0,1,Owner operator,3-Jan,U25,0,0,0,1,0,0,0,1,Wier,no,NA,U10,60-70,male,NA,no,no_change,no_change,increase,increase,Elwives has gotten better over the last 15 yrs,yes_pos,If there is such a thing as climate change then it's helping. My catch has been going up year over year.,slight_pos,med,no_effect,med,strong_pos,high,no_effect,med,idk,NA,idk,NA,idk,NA,no_effect,med,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,no_effect,high,no,NA,yes,It's gotten better for the past 15 yrs.,no,NA,The climate has been changing for thousand of years. In my opinion it could turn and get colder over the next 100 yrs. Some scientist say we might have a mini ice age in the next few years.,It depends if the climate changes and witch way.,somewhat,none,none,none,none,none,none,none,never,never,never,never,never,never,never,occasionally,none,none,none,somewhat,very,none,very,very,none,occasionally,never,occasionally,occasionally,frequently,never,frequently,frequently,never,somewhat,somewhat,very,somewhat,somewhat,occasionally,occasionally,occasionally,occasionally,occasionally,somewhat,none,none,none,somewhat,never,never,never,never,occasionally,yes,4-Mar,neutral,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_disagree,somewhat_disagree,neutral,strongly_agree,strongly_disagree,strongly_disagree,somewhat_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,strongly_disagree,strongly_disagree,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_disagree,0,0,1,0,0,1,1,0,0,0,NA,NA,1,Don't know if climate change is real.,Is climate change real ?,Let more young people get into fishing.,2,n0kjbt03h2pb27n7,ypfy1fXeVx,8/7/2020 13:15
248,4385,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bluefin tuna,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,NA,Friendship,4547,15-May,Windsor,4363,0-5,1,0,0,0,NA,3-Jan,25-35,0,0,0,0,0,1,1,0,NA,no,NA,none,30-40,male,NA,no,no_change,no_change,increase,NA,NA,no,NA,no_effect,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,strong_pos,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,strong_pos,high,strong_pos,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,strong_pos,high,strong_pos,high,no_effect,high,no_effect,high,no_effect,high,no_effect,high,strong_pos,high,no,NA,yes,More fish around. All species. Fish come and go in cycles. Fish are very plentiful right now in the north atlantic,no,NA,None,None,none,none,none,none,none,somewhat,none,somewhat,never,never,never,never,occasionally,occasionally,never,occasionally,none,somewhat,none,somewhat,very,none,somewhat,very,none,never,never,frequently,frequently,frequently,never,frequently,frequently,never,none,somewhat,somewhat,none,none,never,never,occasionally,never,never,none,none,none,none,somewhat,never,never,never,never,frequently,no,NA,somewhat_disagree,neutral,somewhat_disagree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_agree,somewhat_agree,strongly_agree,strongly_disagree,neutral,strongly_disagree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_agree,strongly_agree,somewhat_agree,strongly_agree,strongly_agree,strongly_agree,somewhat_disagree,strongly_disagree,somewhat_agree,strongly_disagree,strongly_disagree,somewhat_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_agree,neutral,neutral,strongly_agree,neutral,0,1,1,1,0,0,0,0,0,0,NA,Listen to the fishermen,0,Financial,Food sources. Clean oceans.,None,2,7pc5jhr01fcbubm3,A7xDGuTcfS,8/7/2020 13:01
249,4407,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,Phippsburg,4562,25+,Phippsburg,4562,25+,0,1,0,0,NA,3-Jan,36-45,0,0,0,1,0,0,0,0,NA,no,NA,none,50-60,male,NA,no,no_change,no_change,decrease,NA,NA,no,NA,idk,med,no_effect,med,no_effect,med,no_effect,med,no_effect,med,no_effect,med,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,NA,NA,no,NA,yes,More people fishing then 30 years ago,no,NA,None,No,somewhat,somewhat,none,none,none,somewhat,somewhat,very,never,never,never,never,never,never,never,never,very,somewhat,somewhat,very,somewhat,none,very,none,none,occasionally,occasionally,occasionally,frequently,frequently,never,frequently,never,never,somewhat,somewhat,somewhat,none,none,occasionally,never,never,never,occasionally,none,none,none,none,somewhat,never,never,never,never,occasionally,no,NA,neutral,neutral,neutral,somewhat_agree,strongly_agree,neutral,neutral,strongly_agree,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,strongly_disagree,neutral,neutral,neutral,somewhat_agree,neutral,neutral,neutral,neutral,neutral,somewhat_disagree,strongly_disagree,strongly_agree,strongly_agree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_agree,neutral,neutral,strongly_agree,somewhat_agree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,somewhat_agree,somewhat_agree,strongly_disagree,neutral,somewhat_agree,0,0,0,1,1,1,0,0,0,0,NA,NA,1,None,None,Less Regulations on the right whales,2,mfk9m6btkzck199h,XumcHW8A0k,8/7/2020 13:31
250,4412,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,Hancock,4640,25+,Ellsworth,4605,15-25,1,1,0,0,NA,3-Jan,25-35,0,0,0,1,0,0,0,0,NA,no,NA,none,40-50,male,NA,no,no_change,no_change,increase,NA,NA,no,NA,no_effect,high,no_effect,med,strong_pos,med,no_effect,med,idk,NA,idk,NA,idk,NA,no_effect,low,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,NA,NA,yes,Bait for lobster,yes,Gotten better,no,NA,All species,All species,somewhat,somewhat,none,none,none,very,somewhat,somewhat,never,never,never,never,never,never,never,occasionally,very,very,very,very,very,none,somewhat,very,somewhat,occasionally,frequently,frequently,frequently,frequently,never,occasionally,frequently,occasionally,somewhat,somewhat,somewhat,very,very,frequently,occasionally,occasionally,occasionally,frequently,somewhat,none,none,somewhat,very,occasionally,never,never,never,frequently,no,NA,neutral,neutral,neutral,strongly_disagree,somewhat_disagree,neutral,neutral,somewhat_disagree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_agree,neutral,neutral,somewhat_agree,neutral,neutral,neutral,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,neutral,neutral,neutral,neutral,neutral,somewhat_disagree,neutral,somewhat_disagree,neutral,neutral,neutral,neutral,neutral,strongly_disagree,strongly_disagree,strongly_disagree,somewhat_disagree,strongly_disagree,neutral,neutral,neutral,neutral,1,0,0,0,0,1,1,0,0,0,NA,NA,1,I got nothing,No idea,Less rules,2,h3j3g5jxfzrrm1ku,XmExsmmo82,8/7/2020 13:38
251,4416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,Swan's Island,4685,25+,Swan's Island,4685,25+,1,1,0,0,NA,none,U25,0,0,0,1,0,0,0,0,NA,no,NA,50+,70+,male,NA,no,increase,no_change,increase,NA,NA,yes_pos,Earlier shed of  lobstersa,slight_pos,med,slight_neg,med,strong_pos,med,slight_neg,med,strong_neg,med,strong_neg,med,strong_neg,med,slight_neg,med,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,slight_neg,med,slight_pos,med,slight_neg,med,idk,NA,idk,NA,idk,NA,NA,NA,yes,"lobster bait  supply...herring, menhaden  herring scarcer  menhaden  more common",yes,lobster  moving  north and  offshore,yes,lobster shed earlier,lobster,"menhaden, striped  bass moving  north",somewhat,somewhat,somewhat,none,none,somewhat,somewhat,very,frequently,occasionally,frequently,occasionally,frequently,occasionally,occasionally,frequently,very,very,very,very,somewhat,somewhat,somewhat,none,none,frequently,occasionally,frequently,frequently,occasionally,occasionally,occasionally,never,never,very,very,somewhat,somewhat,somewhat,frequently,occasionally,occasionally,occasionally,occasionally,none,none,somewhat,somewhat,somewhat,occasionally,never,occasionally,occasionally,occasionally,no,NA,strongly_agree,neutral,somewhat_agree,strongly_agree,strongly_agree,neutral,neutral,strongly_disagree,somewhat_disagree,neutral,neutral,neutral,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,strongly_agree,somewhat_agree,somewhat_disagree,neutral,strongly_disagree,strongly_disagree,neutral,neutral,strongly_disagree,somewhat_disagree,somewhat_agree,neutral,neutral,0,1,0,1,0,0,0,1,0,0,NA,NA,1,n/a,movement of species,"tariffs, lost markets",2,m7h8xc7q1q11yk7b,K5EtLCvSn7,8/7/2020 13:53
252,4417,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,Swan's Island,4685,25+,Swan's Island,4685,25+,1,1,0,0,NA,3-Jan,36-45,0,0,0,0,0,0,0,1,Scallop Dredg,no,NA,25-50,60-70,male,NA,no,increase,no_change,decrease,NA,NA,yes_pos,Invasive species crowding out the regulars.,slight_neg,low,slight_neg,low,slight_pos,high,slight_neg,med,strong_neg,high,no_effect,med,idk,NA,no_effect,low,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,strong_neg,high,idk,NA,idk,NA,idk,NA,idk,NA,slight_pos,low,NA,NA,yes,invasive species moving north,yes,Less traditional species in some cases,no,NA,"Cod, Clams, Crab","Cod, Clams and Crab",very,very,somewhat,somewhat,somewhat,very,very,very,occasionally,occasionally,occasionally,occasionally,occasionally,frequently,frequently,frequently,very,somewhat,very,somewhat,none,none,somewhat,none,none,frequently,frequently,occasionally,occasionally,occasionally,never,occasionally,never,never,very,somewhat,very,very,very,frequently,occasionally,occasionally,frequently,frequently,none,somewhat,somewhat,none,somewhat,occasionally,occasionally,frequently,never,occasionally,no,NA,strongly_agree,strongly_agree,strongly_agree,somewhat_agree,strongly_agree,strongly_disagree,strongly_disagree,somewhat_disagree,somewhat_agree,neutral,strongly_disagree,strongly_disagree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,somewhat_agree,somewhat_disagree,neutral,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_disagree,strongly_disagree,somewhat_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,0,0,0,0,1,1,0,0,1,0,NA,streamline the process. It takes years for federal response sometimes,0,Ability to acquire other fisheries permits,Water temp. algae blooms,conflicts with endangered species,2,bap6k5aarn8jfkt1,AKb8Rj6MMh,8/7/2020 14:01
253,4419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,Southport,4576,15-25,Boothbay,4537,25+,1,1,0,0,NA,3-Jan,25-35,0,0,0,1,0,0,0,0,NA,no,NA,25-Oct,50-60,male,NA,no,increase,increase,increase,NA,NA,no_obs_change,NA,no_effect,med,slight_neg,med,no_effect,med,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,idk,NA,slight_neg,low,idk,NA,idk,NA,idk,NA,idk,NA,slight_pos,med,NA,NA,yes,Herring scarcity. Herring is a major bait source for lobster.,no,NA,yes,"Shedders show up,often, but not always, earlier.",idk,No,somewhat,somewhat,none,none,none,somewhat,none,somewhat,never,occasionally,occasionally,occasionally,occasionally,occasionally,never,occasionally,somewhat,very,none,very,somewhat,none,very,none,very,frequently,never,frequently,frequently,occasionally,never,frequently,occasionally,occasionally,somewhat,somewhat,somewhat,very,very,never,never,never,occasionally,occasionally,somewhat,none,none,none,somewhat,occasionally,never,never,occasionally,occasionally,no,2-Jan,strongly_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,strongly_disagree,strongly_agree,strongly_disagree,somewhat_disagree,neutral,neutral,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,somewhat_agree,strongly_agree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,strongly_agree,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_disagree,strongly_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,strongly_agree,1,1,0,0,0,1,0,0,0,0,NA,NA,1,None,ocean temp,no,2,y7a9pnhraadgcsc6,1ur0awjlH4,8/7/2020 13:50
